incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD25062732,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,5144,7 FORCIBLE FONDLING,SEXUAL ABUSE - 1ST DEGREE- VICTIM U/12 YOA 510.110 11221 11D,11D,A,YES,4TH DIVISION,412,RESIDENCE/HOME,1000 BLOCK DIXON AVE,LOUISVILLE,40217,11958
LMPD24140640,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,7371,5 SODOMY FORCE,SODOMY - 3RD DEGREE 510.090 11205 11B,11B,A,YES,8TH DIVISION,812,RESIDENCE/HOME,3700 BLOCK FALLEN TIMBER DR,BROWNSBORO FARM,40241,11959
LMPD25047764,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,5397,10 KIDNAPPING ONLY,UNLAWFUL IMPRISONMENT-2ND DEGREE 509.030 02606 100,100,A,YES,1ST DIVISION,112,SPECIALTY STORE,2500 BLOCK W BROADWAY,LOUISVILLE,40211,11960
LMPD25047764,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,5397,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY) 508.030 00796 13B,999,B,NO,1ST DIVISION,112,SPECIALTY STORE,2500 BLOCK W BROADWAY,LOUISVILLE,40211,11961
LMPD25015143,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,8173,,"THEFT BY DECEPTION INCLUDING COLD CHECKS $10,000 OR MORE EMB514.040(8)(c) 71289E 270",270,A,YES,1ST DIVISION,112,COMMERCIAL/OFFICE BUILDING,2800 BLOCK W BROADWAY,LOUISVILLE,40211,11962
LMPD24127699,11/1/2024 3:49:00 AM,11/1/2024 3:49:00 AM,5423,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY) 508.030 00796 13B,13B,A,YES,1ST DIVISION,123,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,S 5TH ST / W BROADWAY,LOUISVILLE,40202,11963
LMPD24127695,11/1/2024 3:26:00 AM,11/1/2024 3:26:00 AM,5420,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,YES,4TH DIVISION,424,PARKING/ DROP LOT/ GARAGE,2400 BLOCK S 4TH ST,LOUISVILLE,40208,11964
LMPD24127710,11/1/2024 3:00:00 AM,11/1/2024 3:00:00 AM,5479,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,YES,1ST DIVISION,135,HOTEL/ MOTEL/ ETC.,200 BLOCK S HANCOCK ST,LOUISVILLE,40202,11965
LMPD24127686,11/1/2024 2:59:00 AM,11/1/2024 2:59:00 AM,5223,9 AGGRAVATED ASSAULT,ASSAULT - 1ST DEGREE 508.010 13150 13A,13A,A,YES,1ST DIVISION,123,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,900 BLOCK READ ALY,LOUISVILLE,40203,11966
LMPD24127681,11/1/2024 2:45:00 AM,11/1/2024 2:45:00 AM,5579,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,999,B,NO,2ND DIVISION,234,RESIDENCE/HOME,1700 BLOCK DIXDALE AVE,LOUISVILLE,40210,11967
